PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
-1.023006,1.645296,0.2301198,0.0436044,0.2428694,-0.03184538,0.9685551
-1.021379,1.644809,0.2294429,0.04408006,0.2475969,-0.03116309,0.9673581
-1.01973,1.644146,0.2293171,0.04419754,0.2517145,-0.03276491,0.9662364
-1.018125,1.643584,0.2292951,0.04589162,0.2552679,-0.03358332,0.9651965
-1.016621,1.643147,0.2292586,0.046844,0.2591575,-0.03305222,0.9641321
-1.014821,1.642494,0.2291364,0.0475382,0.2633205,-0.03393247,0.9629388
-1.013185,1.641877,0.2291708,0.04875606,0.2674556,-0.03374577,0.961744
-1.011234,1.641323,0.2294826,0.04983087,0.270179,-0.03243834,0.9609724
-1.009314,1.640964,0.2294938,0.05108377,0.273277,-0.03273943,0.9600199
-1.006642,1.641003,0.2295087,0.05156311,0.2772394,-0.03383484,0.9588194
-1.003719,1.64058,0.2300236,0.05183074,0.28115,-0.03338774,0.9576813
-1.000486,1.640549,0.2298564,0.0528618,0.2860752,-0.0330806,0.9561759
-0.9972019,1.640542,0.2300344,0.05321608,0.2901596,-0.03503886,0.9548548
-0.9906249,1.640123,0.2300142,0.0549532,0.2961502,-0.03437726,0.9529393
-0.9906249,1.640123,0.2300142,0.0549532,0.2961502,-0.03437726,0.9529393
-0.9832075,1.640069,0.2304487,0.05503639,0.3030198,-0.03544646,0.9507332
-0.9801588,1.640182,0.2309486,0.05585367,0.3052036,-0.03570948,0.9499768
-0.9769902,1.64053,0.2308637,0.05644561,0.3070181,-0.03584214,0.949352
-0.9735832,1.640601,0.2307335,0.05616588,0.3088796,-0.03692299,0.9487231
-0.9667397,1.641023,0.2314996,0.05488062,0.3125114,-0.03813208,0.9475604
-0.9667397,1.641023,0.2314996,0.05488062,0.3125114,-0.03813208,0.9475604
-0.9638205,1.641122,0.2314409,0.05449206,0.3145568,-0.03874228,0.9468811
-0.9612911,1.641394,0.2319527,0.05434378,0.3159529,-0.03768376,0.9464674
-0.9587784,1.641806,0.2319677,0.05415067,0.3173059,-0.03747837,0.9460339
-0.956315,1.642418,0.2321294,0.05376515,0.3184402,-0.0371136,0.9456891
-0.9540455,1.643505,0.2323461,0.0514497,0.3186502,-0.03658975,0.9457675
-0.9517248,1.644279,0.2320562,0.04981337,0.3195749,-0.03672512,0.9455379
-0.9495001,1.644976,0.2319282,0.04856558,0.3210598,-0.03671172,0.9451002
-0.9477792,1.646035,0.2318671,0.04730488,0.3223825,-0.03548637,0.9447606
-0.9459412,1.646955,0.2313972,0.04613208,0.324004,-0.03492939,0.9442845
-0.9440103,1.648025,0.231297,0.04423007,0.325184,-0.03433432,0.9439917
-0.9422724,1.649013,0.2305493,0.04242799,0.3266817,-0.03278287,0.9436123
-0.9404266,1.650145,0.230336,0.04005078,0.3275594,-0.03244476,0.9434236
-0.9387605,1.651138,0.2298269,0.03812739,0.328792,-0.03232859,0.9430785
-0.9373186,1.652411,0.2297403,0.03606863,0.3302581,-0.03196215,0.9426596
-0.9354153,1.653545,0.2293157,0.03383352,0.3319947,-0.03124046,0.9421565
-0.9307728,1.657006,0.2274258,0.02722989,0.3368148,-0.02876019,0.9407375
-0.9307728,1.657006,0.2274258,0.02722989,0.3368148,-0.02876019,0.9407375
-0.929224,1.657893,0.2269584,0.02611164,0.337915,-0.02805069,0.9403961
